ID,Product_Type,HTS,Company,Address,City,State,ZIP,Percent,Total_Amount,Quantity_1,Quantity_2,Quantity_3,Quantity_4,Quantity_5,Origin_1,Origin_2,Origin_3,Origin_4,Origin_5,Exporter_1,Exporter_2,Exporter_3,Exporter_4,Exporter_5,District,Abbreviation,Code,Approved,Denied_Incomplete,Denied_Country,Denied_Production,Pending,Denied,Posted_Date,Received_Date,Total_Exclusions,Total_Approved,Total_Denied,Total_Pending,Objections,Total_Objections,Total_Firms
BIS-2018-0002-1805,Foil,7607116000,Trinidad/Benham Corp.,"3650 S. Yosemite St, Suite 300",Denver,Colorado,80237,0.9,1900000,1900000,1900000,1900000,-999,-999,Brazil,Turkey,Turkey,N/A,N/A,Brazil,Turkey,Turkey,N/A,N/A,01,CO,CO-01,0,0,0,1,0,1,6/11/18,6/4/18,37,16,20,1,1,38,2
BIS-2018-0002-1806,Foil,7607116000,Trinidad/Benham Corp.,"3650 S. Yosemite St, Suite 300",Denver,Colorado,80237,1,200000,200000,200000,200000,-999,-999,Brazil,Turkey,Turkey,N/A,N/A,Brazil,Turkey,Turkey,N/A,N/A,01,CO,CO-01,0,1,0,0,0,1,6/11/18,6/4/18,37,16,20,1,1,38,2
BIS-2018-0002-1807,Sheet,7606123090,"Constellium-UACJ ABS, LLC",714 Commonwealth Blvd,Bowling Green,Kentucky,42101,1,264000,264000,-999,-999,-999,-999,Germany,N/A,N/A,N/A,N/A,Netherlands,N/A,N/A,N/A,N/A,02,KY,KY-02,1,0,0,0,0,0,6/11/18,6/4/18,34,33,0,1,1,34,1
BIS-2018-0002-1808,Sheet,7606123090,"Constellium-UACJ ABS, LLC",714 Commonwealth Blvd,Bowling Green,Kentucky,42101,1,310000,310000,-999,-999,-999,-999,Germany,N/A,N/A,N/A,N/A,Netherlands,N/A,N/A,N/A,N/A,02,KY,KY-02,1,0,0,0,0,0,6/11/18,6/4/18,34,33,0,1,1,34,1
BIS-2018-0002-1809,Sheet,7606123090,"Constellium-UACJ ABS, LLC",714 Commonwealth Blvd,Bowling Green,Kentucky,42101,1,144000,144000,-999,-999,-999,-999,Germany,N/A,N/A,N/A,N/A,Netherlands,N/A,N/A,N/A,N/A,02,KY,KY-02,1,0,0,0,0,0,6/11/18,6/4/18,34,33,0,1,1,34,1
BIS-2018-0002-1810,Sheet,7606123090,"Constellium-UACJ ABS, LLC",714 Commonwealth Blvd,Bowling Green,Kentucky,42101,1,254000,254000,-999,-999,-999,-999,Germany,N/A,N/A,N/A,N/A,Netherlands,N/A,N/A,N/A,N/A,02,KY,KY-02,1,0,0,0,0,0,6/11/18,6/4/18,34,33,0,1,1,34,1
BIS-2018-0002-1811,Sheet,7606123090,"Constellium-UACJ ABS, LLC",714 Commonwealth Blvd,Bowling Green,Kentucky,42101,1,366000,366000,-999,-999,-999,-999,Germany,N/A,N/A,N/A,N/A,Netherlands,N/A,N/A,N/A,N/A,02,KY,KY-02,1,0,0,0,0,0,6/11/18,6/4/18,34,33,0,1,1,34,1
BIS-2018-0002-1812,Sheet,7606123090,"Constellium-UACJ ABS, LLC",714 Commonwealth Blvd,Bowling Green,Kentucky,42101,1,308000,308000,-999,-999,-999,-999,Germany,N/A,N/A,N/A,N/A,Netherlands,N/A,N/A,N/A,N/A,02,KY,KY-02,1,0,0,0,0,0,6/11/18,6/4/18,34,33,0,1,1,34,1
BIS-2018-0002-1813,Sheet,7606123090,"Constellium-UACJ ABS, LLC",714 Commonwealth Blvd,Bowling Green,Kentucky,42101,1,468000,468000,-999,-999,-999,-999,Germany,N/A,N/A,N/A,N/A,Netherlands,N/A,N/A,N/A,N/A,02,KY,KY-02,1,0,0,0,0,0,6/11/18,6/4/18,34,33,0,1,1,34,1
BIS-2018-0002-1814,Sheet,7606123090,"Constellium-UACJ ABS, LLC",714 Commonwealth Blvd,Bowling Green,Kentucky,42101,1,211000,211000,-999,-999,-999,-999,Germany,N/A,N/A,N/A,N/A,Netherlands,N/A,N/A,N/A,N/A,02,KY,KY-02,1,0,0,0,0,0,6/11/18,6/4/18,34,33,0,1,1,34,1
